Delivery report: PLS;;;;;;;;;;;;;;;;;;;
Delivery Date;;Tour Number;;Ordernr;;Item Number;;;;Order. Qty;Act. Qty;;Verzenddat. order;;;;;;
14-12-2011;;;;20110971;10;FEIA-BV-118;;;;672,00;0,00;;9-11-2011;;;;;;
14-12-2011;;OUT0000018;;20110971;11;FEIA-BV-118;;;;672,00;672,00;;14-12-2011;;;;;;
15-12-2011;;OUT0000018;;20111304;1;FESC-AR-102;;;;400,00;400,00;;15-12-2011;;;;;;
15-12-2011;;OUT0000018;;20111304;2;FESC-INB-80-500-W;;;;420,00;420,00;;15-12-2011;;;;;;
15-12-2011;;OUT0000018;;20111304;3;FESC-KAR-250-250-W;;;;480,00;480,00;;15-12-2011;;;;;;
15-12-2011;;OUT0000018;;20111304;4;FESC-KSR-200-250-W;;;;336,00;336,00;;15-12-2011;;;;;;
15-12-2011;;OUT0000018;;20111304;5;FESC-SRG-250-200-A;;;;216,00;216,00;;15-12-2011;;;;;;
15-12-2011;;OUT0000018;;20111304;6;FESC-SRM-245-195-A;;;;288,00;288,00;;15-12-2011;;;;;;
15-12-2011;;OUT0000018;;20111304;7;FESC-SRM-300-90-A;;;;384,00;384,00;;15-12-2011;;;;;;
15-12-2011;;OUT0000018;;20111304;8;FESC-STV-125-W;;;;320,00;320,00;;15-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111496;3;FESC-SRM-370-40-W;;;;216,00;0,00;;14-12-2011;;;;;;
12-12-2011;;OUT0000018;;20111497;1;FEIA-SSDA-99;;;;192,00;192,00;;12-12-2011;;;;;;
12-12-2011;;OUT0000018;;20111498;1;FESC-SRM-370-40-W;;;;864,00;648,00;;12-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111498;2;FESC-SRM-370-40-W;;;;216,00;0,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111505;1;FEIA-INB-60-500-W;;;;336,00;336,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111505;2;FEIA-INB-80-500-W;;;;336,00;336,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111505;3;FEIA-KLO-100-125-G;;;;640,00;640,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20110971;4;FEIA-KVVS-125;;;;1.728,00;1.727,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111505;5;FEIA-SRM-245-195-A;;;;288,00;288,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111506;1;FEAP-KAR-160-160-W;;;;432,00;432,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111506;2;FEAP-KVR-40-W;;;;624,00;624,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111506;3;FEAP-MBR-52-SS;;;;240,00;600,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111506;4;FEAP-SMS-100;;;;168,00;42,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111506;5;FEAP-SRM-155-155-A;;;;672,00;672,00;;14-12-2011;;;;;;
14-12-2011;;OUT0000018;;20111506;6;FEAP-SUB-100;;;;240,00;120,00;;14-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111483;25;IVA-SV-125;;;;1,00;1,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;1;IVA-KAR-200-200-W;;;;18,00;18,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;2;IVA-KDR-455-90-W;;;;140,00;140,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;3;IVA-KLO-100-125-W;;;;10,00;12,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;4;IVA-KVV-100-W;;;;70,00;72,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;5;IVA-SRM-195-195-A;;;;6,00;6,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;6;IVA-SRM-245-195-A;;;;6,00;6,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;7;IVA-SUA-100;;;;1,00;1,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;8;IVA-SUA-125;;;;4,00;4,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;9;IVA-SUB-100;;;;4,00;4,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111502;10;IVA-SUB-125;;;;3,00;3,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111503;1;IVA-AAR-245-195-IW;;;;1,00;6,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111508;1;IVA-AAR-245-195-IW;;;;24,00;24,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111508;2;IVA-SRM-370-40-W;;;;24,00;24,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111508;3;IVA-SUA-125;;;;12,00;12,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111509;1;IVA-SRM-180-90-A;;;;360,00;360,00;;13-12-2011;;;;;;
13-12-2011;;OUT0000025;;20111509;2;SRM-180-90-A;;;;640,00;642,00;;13-12-2011;;;;;;
19-12-2011;;;;20110772;3;SP-JG-HL-1-QM;;;;540,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20110971;12;TEST;;;;1,00;0,00;;9-11-2011;;;;;;
21-12-2011;;;;20110971;13;TEST;;;;1,00;0,00;;9-11-2011;;;;;;
21-12-2011;;;;20110971;14;SP-POL-WPWO1-454;;;;1,00;0,00;;9-11-2011;;;;;;
21-12-2011;;;;20111340;1;FESC-AVP-250-150-A;;;;576,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;2;FESC-BV-112;;;;98,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;3;FESC-BV-150;;;;192,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;4;FESC-BV-80;;;;180,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;5;FESC-INB-60-500-A;;;;336,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;6;FESC-INB-80-500-A;;;;672,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;7;FESC-KAR-200-200-W;;;;576,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;8;FESC-KB-450-5;;;;1.488,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;9;FESC-KLO-100-125-W;;;;480,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;10;FESC-KRA-100-150-B;;;;128,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;11;FESC-KRC-125-W;;;;144,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;12;FESC-KVV-150-W;;;;384,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;13;FESC-MOSQUITONET;;;;1.224,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;14;FESC-RBR-130-75-S;;;;192,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;15;FESC-SRG-250-300-A;;;;216,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;16;FESC-SRM-155-155-G;;;;672,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;17;FESC-SRM-180-90-W;;;;1.008,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;18;FESC-SRM-195-195-G;;;;504,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;19;FESC-SRM-245-195-W;;;;288,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111340;20;FESC-SRM-370-40-W;;;;648,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;1;FESC-AR-127;;;;300,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;2;FESC-BV-125;;;;200,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;3;FESC-BV-150;;;;192,00;0,00;;0-1-1900;;;;;;
21-12-2011;;;;20111377;4;FESC-KSR-200-250-W;;;;528,00;0,00;;0-1-1900;;;;;;
